Year,1,2,3,4,5,6,7,8,9,10,11
1985,28.14,32.68,18.33,23.58,26.39,3.7,10.86,4.8,5.54,0.49,0.11
1986,123.87,108.48,58.97,12.79,16.31,13.13,0.97,2.72,1.23,2.27,0.09
1987,21.82,338.29,147.5,44.15,7.68,7.47,4.72,0.39,0.61,0.44,0.82
1988,15.77,40.73,184.79,88.87,22.86,1.34,2.19,1.77,0.16,0.22,0.01
1989,10.58,23.33,41.16,146.61,45.09,12.91,0.84,0.83,0.41,0.28,0.13
1990,70.48,31.8,26.73,38.84,92.82,30.89,3.44,0.9,0.23,0,0
1991,89.73,145.95,41.43,17.73,20.19,32.85,7.63,0.3,0.1,0.08,0
1992,18.15,211.43,137.77,35.38,16.91,13.77,16.32,2.22,0.18,0.07,0
1993,29.99,37.8,244.96,87.19,11.23,3.85,1.66,4.46,0.88,0,0
1994,58.54,61.34,39.83,142.35,42.18,6.9,2.87,1.42,4.44,0.17,0
1995,35.89,82.47,47.03,19.75,69.52,7.66,1.31,0.11,0.34,0,0
1996,95.32,66.31,119.96,36.81,19.58,40.7,5.84,0.62,0.13,0.12,0
1997,8.6,119.35,50.81,53.33,10.88,7.37,10.9,1.35,0.07,0.03,0.07
1998,23.08,18,107.93,28.23,23.49,4.9,3.54,4.56,0.33,0,0
1999,80.73,85.46,25.53,98.73,12.99,9.85,1.42,1.77,1.03,0.09,0
2000,60.58,90.07,44.63,8.45,25.22,3.14,1.59,0.4,0.15,0.52,0.04
2001,81.27,147.71,115.4,22.15,4.09,10.63,0.93,0.57,0,0.1,0
2002,20.75,298.67,200.74,112.49,23.24,3.51,7.49,0.31,0.3,0.08,0.15
2003,111.64,97.55,282.49,244.86,113.46,18.01,2.57,4.49,0.48,0.85,0.07
2004,325.9,291.65,70.75,208.74,109.33,33.96,6.79,1.24,0.82,0,0.16
2005,57.94,698.32,289.36,44.58,157.19,57.51,15.72,3.35,0.32,0.25,0.02
2006,39.29,88.69,575.93,179.11,19.13,62.94,16.43,6.74,0.7,0.29,0
2007,34,65.6,88.63,436.41,85.68,7.9,21.6,4.74,2.15,0.07,0
2008,88.53,68.05,71.7,75.57,222.79,29.99,3.53,7.47,1.64,0.27,0
2009,10.46,111.21,53.82,41.48,41.91,105.64,12.94,2.23,3.11,0.44,0.23
2010,15.15,27.71,138.2,29.95,18.28,20.59,31.59,2.92,0.46,0.69,0.12
2011,8.79,27.65,24.75,77.43,14.03,5.9,9.4,14.89,1.22,0.31,0.23
2012,12.47,14.9,31.27,27.22,58.3,5.23,2.92,5.3,6.87,0.8,0.26
2013,13.91,23.32,19.72,22.9,22.51,41.93,4.78,2.49,3.86,4.52,0.59
2014,14.01,24.78,30.27,17.74,16.44,14.79,16.44,1.33,1.05,1.68,1.42
2015,62.58,19.59,26.56,34.23,12.58,11.18,9.63,9.96,1.14,0.56,1.16
