Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1979,37,185,481,910,1409,1968,2496,3077,3300,4000,5741,6171,4000,5213
1980,37,185,481,910,1409,1968,2496,3077,3300,4615,4000,7337,4000,4000
1981,37,185,481,910,1409,1968,2496,3077,3300,4898,4000,6376,4000,4000
1982,37,185,481,910,1409,1968,2496,3077,3300,3952,4958,5323,4000,5213
1983,37,185,481,910,1409,1968,2496,3077,3300,4463,5101,4000,4000,4000
1984,37,185,481,910,1409,1968,2496,3077,3300,3941,4138,5155,4000,4000
1985,36,244,568,1187,1673,2371,2766,3197,3331,4564,4930,4852,5209,4000
1986,35,239,671,1134,1943,2399,3190,3293,3728,4436,3863,5241,4000,4000
1987,31,162,550,1216,1825,2605,3030,3642,3837,3653,4877,3814,5279,4163
1988,37,176,457,974,1830,2695,3102,3481,3318,4169,4560,4631,5293,5293
1989,26,182,441,887,1510,2380,3009,3499,3195,5039,5015,4975,5338,4575
1990,29,184,457,840,1234,1965,2675,3052,3267,4115,4682,5220,5183,5204
1991,31,176,501,1003,1406,1884,2496,3755,3653,5243,3427,4000,5356,4000
1992,28,157,503,894,1365,1891,2325,2936,3682,4674,4503,5250,4000,4000
1993,41,168,384,878,1492,1785,2562,2573,3266,4047,5294,5294,4709,4000
1994,33,181,392,680,1235,1766,1717,2977,2131,3154,3897,5258,4190,4000
1995,37,167,440,755,1065,1857,2689,5377,1306,3119,3220,1640,3753,4000
1996,41,174,453,813,1076,1477,2171,2426,4847,3686,3846,3508,4000,4000
1997,50,174,424,817,1221,1425,1915,2390,3692,3508,4028,2815,4133,4000
1998,41,203,415,753,1241,1747,1996,2342,3076,3275,3701,3630,3806,4202
1999,33,206,480,715,1189,1956,2366,2782,2922,3534,4000,4000,2159,4000
2000,29,179,552,889,1159,1767,2612,2917,3132,3734,4142,5574,4000,1648
2001,36,190,490,1056,1437,1509,2169,2765,3300,4715,3849,4000,4000,4000
2002,67,172,475,889,1460,1949,2137,1990,3709,4078,4551,4479,5358,4000
2003,40,230,412,801,1268,1873,3139,2343,3301,3289,4157,5295,5313,4000
2004,34,176,556,807,1282,1690,2454,3236,2942,3957,3146,2827,4000,5249
2005,40,153,448,920,1188,1564,2128,2808,2550,2755,4053,4019,4158,4000
2006,33,127,333,736,1145,1512,1944,2232,3272,3617,3566,4000,4000,4000
2007,48,170,350,615,1053,1514,1786,2073,2198,2408,3360,2303,3338,5082
2008,27,179,382,595,868,1295,1828,2201,2340,2568,2840,2727,4000,4000
2009,29,139,442,687,882,1141,1495,1920,2574,3070,3016,3488,4000,4000
2010,32,150,392,773,942,1190,1468,1829,2086,2730,3016,3488,4000,4000
2011,35,175,442,757,1129,1304,1583,1865,2107,3094,2398,4146,4000,4000
2012,28,202,482,801,1145,1480,1909,2072,2353,2350,2207,3211,3054,4000
2013,33,201,589,967,1312,1710,1999,2265,2764,2709,2529,2885,1788,3352
2014,36,222,570,1005,1372,1751,2141,2298,2653,3104,3153,3162,4000,3582
2015,32,255,614,1073,1637,1926,2452,2774,3170,3173,3577,3356,4000,3718
2016,32,184,609,1117,1643,2200,2461,2908,3167,3472,3475,3775,3612,4078
2017,32,182,486,1111,1689,2205,2698,2915,3272,3470,3698,3700,3918,3800
2018,32,187,482,950,1683,2248,2702,3106,3277,3549,3696,3863,3864,4019
