Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1979,NA,0.00203697,0.0181409,0.162413,0.418755,0.669256,0.833097,0.990036,0.552642,1.66533e-16,1.09136,1.21194,1.66533e-16,0.1
1980,NA,0.0177436,0.0234221,0.144499,0.282465,0.508005,0.656593,0.684651,0.560708,0.723544,1.66533e-16,0.243021,2.77556e-17,0
1981,NA,0.00106053,0.0190696,0.108294,0.327813,0.812915,0.919791,0.793459,0.463331,0.569096,2.77556e-17,0.626975,2.77556e-17,0
1982,NA,0.00276755,0.0322676,0.15556,0.369134,0.500687,0.751182,1.05648,0.903324,1.28782,0.835179,0.284336,3.05311e-16,0.074268
1983,NA,0.00128303,0.0324732,0.300811,0.356734,0.68325,0.691912,0.706192,0.643154,1.0508,0.389347,2.77556e-17,3.05311e-16,0
1984,NA,0.0130305,0.0505598,0.219922,0.449031,0.784411,0.60673,0.825183,0.493414,0.369401,0.179267,0.108255,1.66533e-16,0
1985,NA,0.0346893,0.122013,0.31514,0.532416,0.582301,0.719057,0.736669,1.31389,1.18422,0.344921,0.963535,0.206033,0
1986,NA,0.013014,0.148418,0.467023,0.625056,1.04791,0.815565,0.937435,0.976407,0.918006,0.435136,0.636037,2.77556e-17,0
1987,NA,0.0131499,0.14081,0.389064,0.668539,0.620223,0.656748,0.529957,0.499715,0.684679,0.645043,0.423531,0.254439,0.44654
1988,NA,0.00538822,0.085526,0.411114,0.665017,0.810701,0.814602,0.997813,0.556512,0.557008,0.74231,0.354434,0.0965268,0.106737
1989,NA,0.00700184,0.0713728,0.288037,0.497589,1.00261,0.917252,1.55249,0.682271,0.632039,0.526289,0.701556,0.361073,0.951975
1990,NA,0.0787709,0.116807,0.378529,0.556358,0.735874,0.772306,0.769082,0.794063,0.467496,0.530415,0.160226,0.0714979,0.240302
1991,NA,0.108921,0.122876,0.412793,0.650553,0.783096,0.810725,0.889834,0.473368,0.249761,0.0843419,1.66533e-16,0.452332,0
1992,NA,0.0347111,0.191662,0.554981,0.761764,0.827409,0.767977,0.857501,0.973248,0.204392,0.149212,0.0439454,2.77556e-17,0
1993,NA,0.0223591,0.103626,0.369965,0.635089,0.736152,0.93412,0.932891,0.84207,0.383341,0.0280896,0.0503852,0.62813,0
1994,NA,0.0784507,0.127898,0.364649,0.608418,0.768585,0.821443,0.642598,0.785678,0.575413,0.401008,0.0354149,0.209921,0
1995,NA,0.0628373,0.259096,0.337337,0.607075,0.803997,0.895207,0.971439,0.855897,0.926405,0.757646,0.179525,0.434247,0
1996,NA,0.0986826,0.233423,0.472933,0.479942,0.797885,0.949698,0.911534,0.790213,0.755921,0.437813,0.466261,1.66533e-16,0
1997,NA,0.0148147,0.176123,0.403726,0.64107,0.578916,0.872718,0.899662,0.819314,0.252769,0.458723,0.74702,0.0532155,0
1998,NA,0.017302,0.11693,0.413114,0.574932,0.781123,0.737695,1.02504,1.04067,0.5305,0.631758,0.195687,0.107302,0.302026
1999,NA,0.0321048,0.126046,0.380358,0.688906,0.877869,0.792308,0.870023,0.806294,0.776206,1.66533e-16,3.05311e-16,0.0682792,0
2000,NA,0.0253447,0.193029,0.286313,0.591202,0.737295,0.930353,0.739542,0.93287,0.807423,0.318754,0.131041,1.66533e-16,0.156192
2001,NA,0.017916,0.140244,0.337268,0.286263,0.603071,0.620168,0.745386,0.568134,0.440478,0.594649,1.66533e-16,3.05311e-16,0
2002,NA,0.00640598,0.0960734,0.307992,0.445091,0.380729,0.710085,0.523156,0.650377,0.467982,0.757433,0.450291,0.328539,0
2003,NA,0.00887547,0.0471762,0.213189,0.423949,0.508463,0.468868,0.684754,0.344733,0.382518,0.211834,0.289769,0.201889,0
2004,NA,0.0116809,0.116901,0.179084,0.42376,0.608637,0.753104,0.616295,0.644637,0.709825,0.556616,0.499184,1.66533e-16,0.593377
2005,NA,0.00691444,0.0887415,0.298818,0.423076,0.613858,0.752586,0.849291,0.80878,0.652727,0.0420394,0.654104,0.172143,0
2006,NA,0.00295528,0.036012,0.294138,0.524244,0.647652,0.846339,1.05556,1.05692,0.828972,0.863298,2.77556e-17,3.05311e-16,0
2007,NA,0.0206422,0.0600249,0.208737,0.574836,0.553055,0.886248,0.882241,0.787043,0.580139,0.710579,0.707164,0.718298,2.09934
2008,NA,0.0598736,0.158823,0.209267,0.440082,0.634719,0.619517,0.756758,0.72267,0.635623,0.370771,0.236642,1.66533e-16,0
