Year,1,2,3,4,5,6,7,8,9,10
1979,45.7,80.9,117.3,27.7,19.6,20.44,3.41,0.77,0.15,0.05
1980,12.7,37.4,66.1,94.3,19.3,10.54,8.57,1.21,0.23,0.07
1981,52.3,10.4,30.1,52.9,66.8,11.91,5.19,3.64,0.5,0.11
1982,35.8,42.8,8.5,24.2,38.9,39.42,4.33,1.69,1.35,0.26
1983,25.1,29.3,34.9,6.8,16.9,21.99,19.56,1.67,0.48,0.45
1984,52.3,20.6,24,27.7,4.1,9.7,9.09,8.02,0.68,0.21
1985,105.7,42.8,16.6,18.7,18.2,2.14,3.63,4.06,2.88,0.34
1986,200.4,86.5,33.8,12,11.1,8.75,0.98,1.45,1.59,0.63
1987,59.5,164,69.9,23.9,6.2,4.88,2.51,0.35,0.46,0.49
1988,36.4,48.7,132.5,49.7,13.3,2.59,2.15,1.07,0.17,0.23
1989,33.1,29.8,39.7,99.6,27,5.58,0.94,0.78,0.32,0.08
1990,112.7,27.1,24.2,30.3,61.2,13.43,1.68,0.31,0.14,0.13
1991,213.9,92.3,20.5,17.6,17,28.7,5.27,0.63,0.12,0.05
1992,46.9,175.1,67.8,14.8,9.6,7.25,10.74,1.92,0.21,0.06
1993,57.2,38.4,138.5,45.8,7,3.65,2.59,4.08,0.67,0.07
1994,89,46.8,30.8,102.2,25.9,3.03,1.43,0.83,1.31,0.23
1995,44.4,72.9,35.5,22.2,58.1,11.54,1.15,0.52,0.36,0.49
1996,125.2,36.3,56,22.4,13,25.93,4.23,0.38,0.16,0.13
1997,22,102.5,27,36.3,11.4,6.56,9.56,1.34,0.13,0.06
1998,61.3,18,82.7,18.5,19.9,4.93,3.01,3.27,0.45,0.05
1999,143.4,50.2,14.5,60.2,10,9.15,1.85,1.18,0.96,0.13
2000,191.2,117.4,39.8,10.4,33.7,4.12,3.11,0.69,0.4,0.35
2001,228.7,156.5,93.7,26.8,6.4,15.28,1.61,1.01,0.27,0.13
2002,61.3,187.3,125.9,66.7,15.7,3.95,6.85,0.71,0.39,0.12
2003,185.6,50.2,152.3,93.6,40.1,8.23,2.21,2.76,0.34,0.17
2004,471.1,152,40.7,119,61.9,21.5,4.05,1.13,1.14,0.2
2005,110.2,385.7,123,29.6,81.4,33.19,9.58,1.56,0.5,0.49
2006,51.7,90.3,313.6,92.1,18,43.68,14.71,3.7,0.55,0.18
2007,53.8,42.3,73.7,247.7,56.2,8.73,18.71,5.17,1.05,0.16
2008,146.3,44,33.9,56.8,164.6,25.9,4.11,6.31,1.75,0.39
2009,47.5,119.8,34,23.7,37.7,86.78,11.24,1.81,2.43,0.7
2010,34.9,38.9,97.1,24.9,15,22.84,39.37,4.02,0.83,0.74
2011,24,28.6,31.7,74.1,14,7.92,12.58,16.4,1.59,0.36
2012,42,19.6,23.2,24.5,50,6.88,3.9,6.7,7.8,0.86
2013,29.2,34.4,15.9,17.8,17,29.05,3.62,2.08,3.24,3.98
2014,24.7,23.9,27.9,12.1,12,10.29,15.44,1.87,1.1,1.52
2015,130.8,20.3,19.4,21.5,8.3,7.32,5.95,8.35,1.13,0.55
2016,66.8,107.1,16.3,14.3,14.1,4.91,4.19,3.25,4.53,0.61
2017,66.8,54.7,87.5,11.7,8.8,7.72,2.51,2.08,1.6,2.24
